feature,estimate,std_error,p_value
Intercept,2.2374259024631487,0.2118072137054253,4.3993683678582946e-26
participant_id Var,2.582139523851753,0.42260798859980886,9.962417752068562e-10
needs_health_data,-0.1880021468688924,0.05810665094439766,0.001214439573416543
expected_answer_length,0.37543884925723237,0.11807805770379956,0.0014748770961086712
planning_horizon,0.06770065843621091,0.023839562099184367,0.004513547565941519
time_window_length,0.06308643400707126,0.02256267190570473,0.00517308627773076
task_family,-0.036047066880520964,0.01321020879340305,0.006357911794358685
requires_personal_history,0.20908824511902274,0.08033192350825703,0.009246482103229717
cognitive_load_estimate,-0.1501933879039816,0.06267792417934852,0.016562770364301347
embedding_axis_complexity,0.4783679699698842,0.2001705645045362,0.016857468555351945
time_urgency_level,-0.11534487640987547,0.04864534482991405,0.017733358484070677
novelty_seeking,-0.13914121098932994,0.058750715209191486,0.017868483469523085
requires_aggregation,-0.12182758509459582,0.05432965619523296,0.024937000818171157
has_comparative_phrase,0.19865777245238878,0.08965624454785624,0.026707139220933217
device_context_implied,-0.053145958321962006,0.02439251716568694,0.029347924682398694
output_requires_multimedia_creation,0.34146860333315804,0.16506119739685052,0.03857054731390239
social_context_strength,0.049575697933970486,0.02492702143296523,0.046719572059803614
domain_category,0.014042675438580177,0.00759220385257792,0.06436865447867708
food_context_type,0.07091574110268596,0.038749773911445747,0.0672358362796058
monetary_context_type,-0.025448466075906277,0.015656859319636906,0.10407998164373088
needs_calendar_context,-0.09010939248616615,0.06038024458882951,0.13560336035322068
requires_summarization,-0.26523710065763134,0.18569315341183754,0.15318760300644696
requires_similarity_search,-0.09383561442358644,0.06622740993356542,0.1565210092044215
habit_analysis,-0.06806336006733381,0.049186171529298627,0.16642259301207407
needs_financial_logs,0.091244374543498,0.06755496704617737,0.17680160662014166
temporal_reference_type,0.022943483009228334,0.017781941894923756,0.1969573812596186
embedding_cluster_id,-0.0193329977781593,0.015369530597945586,0.2084358018776986
QL_tokens,0.02366931374756239,0.01919576186170129,0.21755750703402021
explicit_output_structure,0.042541782179548335,0.03530678180645266,0.22823490156432125
output_requires_behavior_change_guidance,0.05853933476333726,0.05632770219952703,0.2986821240699721
requires_cross_app_integration,0.04678132349392312,0.046155643093691766,0.3107947188650724
needs_media_history,-0.05394548409110641,0.059165541013537826,0.36188874907671564
recommendation_type,-0.010659733248619598,0.012643556735840687,0.3991747052953635
needs_communication_logs,-0.0534428102759111,0.06466422462562763,0.40853955878935777
urgency_phrase_present,0.07094680849852823,0.09094499569066465,0.43532802113253743
info_source_type,0.007435742241712172,0.010863688401251785,0.49368578088179704
has_temporal_diff_phrase,-0.05258993941094494,0.08594241249971,0.540590239231757
requires_generation,-0.04336718825092778,0.07133488895516703,0.5432286090195111
query_goal_specificity,0.028736968608590478,0.05096074151768832,0.5728194326252244
personalization_intensity,-0.022227872839055293,0.0568594111666362,0.695851276267597
embedding_axis_urgency,0.044137033844051037,0.12532587876110055,0.7247046760259872
stakes_level,-0.012467060529464231,0.036089512533159035,0.7297573758792477
contains_monetary_amount,0.012622999273885417,0.07151211595051615,0.8598889465847304
modality_primary,-0.0024992803652054666,0.014215075431291423,0.8604361413242734
interaction_pattern,0.004454414648545714,0.035616070370707256,0.9004700731907421
QL_char,-0.00023184551890743297,0.003611477754249791,0.9488134804352532
needs_location_context,-0.0020164461154884273,0.03368563925501552,0.9522665765795659
requires_visual_understanding,-0.0016369236367379445,0.06585131528627605,0.9801683292631341
requires_list_dedup_grouping,0.0002179499015294736,0.05290345979294899,0.9967129112117618
